Area Code,Area,Item Code,Item,Element Code,Element,Source Code,Source,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"2","Afghanistan","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000","1208.440000"
"2","Afghanistan","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","-246.219100","-246.219100","-246.219100","-246.219100","-246.219100","154.657400","154.657400","154.657400","154.657400","154.657400"
"2","Afghanistan","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"2","Afghanistan","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"2","Afghanistan","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","-2388.803000","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","121.901600","-246.219100","-246.219100","-246.219100","-246.219100","-246.219100","154.657400","154.657400","154.657400","154.657400","154.657400"
"3","Albania","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","788.800000","786.850000","784.900000","782.950000","781.000000","779.050000","777.100000","775.150000","773.200000","771.250000","769.300000","770.577000","771.854000","773.131000","774.408000","775.685000","776.962000","778.239000","779.516000","780.793000","782.070000","783.493500","784.917000","786.340500","787.764000","789.187500","789.130000","789.072500","789.015000","788.957500","788.900000"
"3","Albania","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-961.039100","-961.039100","-961.039100","-961.039100","-961.039100","-352.013900","-352.013900","-352.013900","-352.013900","-352.013900"
"3","Albania","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"3","Albania","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"3","Albania","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","72.858100","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-1233.285900","-961.039100","-961.039100","-961.039100","-961.039100","-961.039100","-352.013900","-352.013900","-352.013900","-352.013900","-352.013900"
